order_id,order_date,product_id,product_name,category,quantity,unit_price,payment_method
ORD-001,2026-07-01,PRD-001,Nasi Goreng,Makanan,2,18000,QRIS
ORD-001,2026-07-01,PRD-006,Es Teh,Minuman,2,5000,QRIS
ORD-002,2026-07-01,PRD-003,Sate Ayam,Makanan,1,22000,Tunai
ORD-003,2026-07-02,PRD-002,Mie Goreng,Makanan,1,17000,Transfer
ORD-003,2026-07-02,PRD-007,Jus Jeruk,Minuman,2,10000,Transfer
ORD-004,2026-07-03,PRD-004,Soto Ayam,Makanan,3,20000,QRIS
ORD-005,2026-07-03,PRD-008,Pisang Goreng,Camilan,2,12000,Tunai
ORD-005,2026-07-03,PRD-006,Es Teh,Minuman,2,5000,Tunai
ORD-006,2026-07-04,PRD-001,Nasi Goreng,Makanan,1,18000,QRIS
ORD-006,2026-07-04,PRD-009,Kopi Susu,Minuman,1,12000,QRIS
ORD-007,2026-07-05,PRD-005,Nasi Ayam,Makanan,2,24000,Transfer
ORD-008,2026-07-05,PRD-010,Tahu Isi,Camilan,3,8000,Tunai
ORD-009,2026-07-06,PRD-003,Sate Ayam,Makanan,2,22000,QRIS
ORD-009,2026-07-06,PRD-007,Jus Jeruk,Minuman,1,10000,QRIS
ORD-010,2026-07-07,PRD-002,Mie Goreng,Makanan,2,17000,Tunai
ORD-011,2026-07-08,PRD-004,Soto Ayam,Makanan,1,20000,Transfer
ORD-011,2026-07-08,PRD-008,Pisang Goreng,Camilan,1,12000,Transfer
ORD-012,2026-07-09,PRD-005,Nasi Ayam,Makanan,1,24000,QRIS
ORD-012,2026-07-09,PRD-006,Es Teh,Minuman,3,5000,QRIS
ORD-013,2026-07-10,PRD-010,Tahu Isi,Camilan,2,8000,Tunai
ORD-014,2026-07-10,PRD-001,Nasi Goreng,Makanan,3,18000,Transfer
ORD-014,2026-07-10,PRD-009,Kopi Susu,Minuman,2,12000,Transfer
ORD-015,2026-07-11,PRD-003,Sate Ayam,Makanan,1,22000,QRIS
ORD-016,2026-07-12,PRD-002,Mie Goreng,Makanan,1,17000,Tunai
ORD-016,2026-07-12,PRD-007,Jus Jeruk,Minuman,1,10000,Tunai
ORD-017,2026-07-13,PRD-004,Soto Ayam,Makanan,2,20000,QRIS
ORD-018,2026-07-14,PRD-008,Pisang Goreng,Camilan,3,12000,Transfer
ORD-018,2026-07-14,PRD-006,Es Teh,Minuman,2,5000,Transfer
ORD-019,2026-07-15,PRD-005,Nasi Ayam,Makanan,2,24000,Tunai
ORD-020,2026-07-15,PRD-010,Tahu Isi,Camilan,1,8000,QRIS
